Setting solenoid 2 amount 1
Setting solenoid 1 amount 1
19715618 0 1 513.95 141.89 -0.031250
19718737 0 1 513.95 141.89 -0.031250
19721985 0 1 513.91 141.81 -0.054688
19723944 0 1 513.92 141.84 -0.046875
19727003 0 1 513.95 141.89 -0.031250
19729009 0 1 513.95 141.89 -0.031250
19732100 0 1 513.97 141.95 -0.015625
19735382 0 1 513.93 141.87 -0.039063
19738630 0 1 513.96 141.92 -0.023438
19741962 0 1 513.96 141.92 -0.023438
19745267 0 1 513.96 141.92 -0.023438
19748504 0 1 513.97 141.95 -0.015625
19750471 0 1 513.96 141.92 -0.023438
19753619 0 1 513.93 141.87 -0.039063
19756841 0 1 513.93 141.87 -0.039063
19758812 0 1 513.95 141.89 -0.031250
19761956 0 1 513.93 141.87 -0.039063
19765187 0 1 513.96 141.92 -0.023438
19768466 0 1 513.93 141.87 -0.039063
19770433 0 1 514.91 141.81 -0.054688
19773492 0 1 513.93 141.87 -0.039063
19776755 0 1 513.91 141.81 -0.054688
19780038 0 1 513.92 141.84 -0.046875
19782001 0 1 513.92 141.84 -0.046875
19785106 0 1 513.93 141.87 -0.039063
19788327 0 1 514.95 141.89 -0.031250
19790313 0 1 513.93 141.87 -0.039063
19793398 0 1 514.93 141.87 -0.039063
19796680 0 1 514.93 141.87 -0.039063
19799942 0 1 514.93 141.87 -0.039063
19801928 0 1 513.93 141.87 -0.039063
19805014 0 1 513.95 141.89 -0.031250
19808297 0 1 513.91 141.81 -0.054688
19811561 0 1 513.93 141.87 -0.039063
19813548 0 1 513.93 141.87 -0.039063
19816632 0 1 513.93 141.87 -0.039063
19819896 0 1 513.92 141.84 -0.046875
19821870 0 1 513.93 141.87 -0.039063
19824933 0 1 513.93 141.87 -0.039063
19828194 0 1 513.96 141.92 -0.023438
19831455 0 1 513.95 141.89 -0.031250
19833435 0 1 513.93 141.87 -0.039063
19836541 0 1 513.95 141.89 -0.031250
19839788 0 1 513.95 141.89 -0.031250
19841748 0 1 513.95 141.89 -0.031250
19844819 0 1 513.96 141.92 -0.023438
19846796 0 1 513.96 141.92 -0.023438
19849903 0 1 513.97 141.95 -0.015625
19853087 0 1 513.96 141.92 -0.023438
19856382 0 1 513.97 141.95 -0.015625
19858369 0 1 513.97 141.95 -0.015625
19861513 0 1 513.99 141.97 -0.007813
19864702 0 1 513.97 141.95 -0.015625
19867995 0 1 513.97 141.95 -0.015625
19871255 0 1 513.96 141.92 -0.023438
19873254 0 1 513.96 141.92 -0.023438
19876308 0 1 513.95 141.89 -0.031250
19879649 0 1 513.92 141.84 -0.046875
19882867 0 1 513.93 141.87 -0.039063
19884843 0 1 513.95 141.89 -0.031250
19887923 0 1 513.91 141.81 -0.054688
19891219 0 1 513.93 141.87 -0.039063
19894482 0 1 513.88 141.76 -0.070313
19896456 0 1 513.91 141.81 -0.054688
19899540 0 1 513.92 141.84 -0.046875
19901485 0 1 513.91 141.81 -0.054688
19904589 0 1 513.93 141.87 -0.039063
19907855 0 1 513.92 141.84 -0.046875
19911118 0 1 513.93 141.87 -0.039063
19913106 0 1 513.92 141.84 -0.046875
