[0.0371093750, 0.0371093750, 0.0351562500, ]
[0.2958984400, 0.0371093750, 0.0341796880, ]
[0.0361328130, 0.3066406300, 0.0371093750, ]
[0.0351562500, 0.0400390630, 0.3164062500, ]
[0.1318359400, 0.1083984400, 0.0830078130, ]
[0.0361328130, 0.1201171900, 0.1718750000, ]
[0.0361328130, 0.0380859380, 0.0908203130, ]
[0.0361328130, 0.0478515630, 0.1113281300, ]
[0.0371093750, 0.1787109400, 0.1738281300, ]
[0.1103515600, 0.1035156300, 0.1250000000, ]
[0.1230468800, 0.1494140600, 0.0859375000, ]
[0.0849609380, 0.0419921880, 0.0361328130, ]
[0.0986328130, 0.1982421900, 0.0361328130, ]
[0.0634765630, 0.2255859400, 0.0576171880, ]
[0.1884765600, 0.1093750000, 0.0361328130, ]
[0.1503906300, 0.2216796900, 0.0361328130, ]
[0.1406250000, 0.0468750000, 0.1562500000, ]
[0.2070312500, 0.2333984400, 0.1005859400, ]
[0.0683593750, 0.2402343800, 0.2324218800, ]
[0.1357421900, 0.1962890600, 0.0429687500, ]
[0.0771484380, 0.1679687500, 0.0351562500, ]
[0.1455078100, 0.2060546900, 0.0751953130, ]
[0.1962890600, 0.0488281250, 0.0986328130, ]
[0.2021484400, 0.2148437500, 0.0390625000, ]
[0.0869140630, 0.1025390600, 0.1845703100, ]
[0.0361328130, 0.1416015600, 0.0654296880, ]
[0.0361328130, 0.0556640630, 0.1689453100, ]
[0.0458984380, 0.0986328130, 0.0371093750, ]
[0.2031250000, 0.2382812500, 0.1220703100, ]
[0.2343750000, 0.0390625000, 0.0751953130, ]
[0.1523437500, 0.0380859380, 0.2138671900, ]
[0.2441406300, 0.2226562500, 0.1484375000, ]
[0.1142578100, 0.1855468800, 0.0507812500, ]
[0.1416015600, 0.1279296900, 0.1152343800, ]
[0.1679687500, 0.0380859380, 0.0351562500, ]
[0.2246093800, 0.0556640630, 0.0644531250, ]
[0.0361328130, 0.0556640630, 0.2392578100, ]
[0.0693359380, 0.1914062500, 0.1142578100, ]
[0.1933593800, 0.2207031300, 0.0429687500, ]
[0.2490234400, 0.1132812500, 0.0507812500, ]
[0.1738281300, 0.1015625000, 0.1240234400, ]
[0.0361328130, 0.0507812500, 0.0957031250, ]
[0.0361328130, 0.2177734400, 0.1386718800, ]
[0.2158203100, 0.0673828130, 0.1777343800, ]
[0.0371093750, 0.1123046900, 0.1474609400, ]
[0.0361328130, 0.1025390600, 0.1767578100, ]
[0.0361328130, 0.1962890600, 0.0468750000, ]
[0.0703125000, 0.1962890600, 0.0771484380, ]
[0.0947265630, 0.1689453100, 0.1855468800, ]
[0.2519531300, 0.0410156250, 0.1816406300, ]
[0.2197265600, 0.1640625000, 0.0839843750, ]
